fpr,tpr,type
0.168032787,0.25,copy-paste
0.168032787,0.254098361,copy-paste
0.172131148,0.258196721,copy-paste
0.172131148,0.266393443,copy-paste
0.18442623,0.266393443,copy-paste
0.18852459,0.270491803,copy-paste
0.18852459,0.278688525,copy-paste
0.196721311,0.278688525,copy-paste
0.196721311,0.290983607,copy-paste
0.200819672,0.290983607,copy-paste
0.200819672,0.295081967,copy-paste
0.204918033,0.299180328,copy-paste
0.209016393,0.299180328,copy-paste
0.209016393,0.303278689,copy-paste
0.209016393,0.31557377,copy-paste
0.217213115,0.31557377,copy-paste
0.217213115,0.327868852,copy-paste
0.225409836,0.327868852,copy-paste
0.225409836,0.336065574,copy-paste
0.229508197,0.336065574,copy-paste
0.233606557,0.348360656,copy-paste
0.237704918,0.348360656,copy-paste
0.237704918,0.352459016,copy-paste
0.254098361,0.352459016,copy-paste
0.254098361,0.356557377,copy-paste
0.262295082,0.356557377,copy-paste
0.262295082,0.364754098,copy-paste
0.262295082,0.37295082,copy-paste
0.262295082,0.37704918,copy-paste
0.266393443,0.37704918,copy-paste
0.266393443,0.393442623,copy-paste
0.270491803,0.393442623,copy-paste
0.270491803,0.401639344,copy-paste
0.282786885,0.401639344,copy-paste
0.282786885,0.405737705,copy-paste
0.282786885,0.418032787,copy-paste
0.286885246,0.418032787,copy-paste
0.295081967,0.422131148,copy-paste
0.295081967,0.426229508,copy-paste
0.299180328,0.426229508,copy-paste
0.303278689,0.43852459,copy-paste
0.31147541,0.446721311,copy-paste
0.319672131,0.446721311,copy-paste
0.327868852,0.446721311,copy-paste
0.331967213,0.446721311,copy-paste
0.336065574,0.450819672,copy-paste
0.340163934,0.450819672,copy-paste
0.340163934,0.454918033,copy-paste
0.344262295,0.454918033,copy-paste
0.344262295,0.467213115,copy-paste
0.344262295,0.471311475,copy-paste
0.348360656,0.471311475,copy-paste
0.348360656,0.483606557,copy-paste
0.352459016,0.483606557,copy-paste
0.352459016,0.491803279,copy-paste
0.352459016,0.504098361,copy-paste
0.360655738,0.508196721,copy-paste
0.37295082,0.508196721,copy-paste
0.37295082,0.512295082,copy-paste
0.381147541,0.516393443,copy-paste
0.381147541,0.520491803,copy-paste
0.393442623,0.520491803,copy-paste
0.397540984,0.520491803,copy-paste
0.397540984,0.528688525,copy-paste
0.401639344,0.536885246,copy-paste
0.401639344,0.545081967,copy-paste
0.401639344,0.557377049,copy-paste
0.401639344,0.56557377,copy-paste
0.409836066,0.56557377,copy-paste
0.422131148,0.56557377,copy-paste
0.422131148,0.573770492,copy-paste
0.422131148,0.581967213,copy-paste
0.426229508,0.586065574,copy-paste
0.450819672,0.586065574,copy-paste
0.475409836,0.62295082,copy-paste
0.479508197,0.62295082,copy-paste
0.495901639,0.62295082,copy-paste
0.5,0.62295082,copy-paste
0.5,0.639344262,copy-paste
0.5,0.651639344,copy-paste
0.504098361,0.651639344,copy-paste
0.504098361,0.655737705,copy-paste
0.516393443,0.655737705,copy-paste
0.524590164,0.655737705,copy-paste
0.524590164,0.659836066,copy-paste
0.540983607,0.659836066,copy-paste
0.549180328,0.659836066,copy-paste
0.553278689,0.676229508,copy-paste
0.553278689,0.68852459,copy-paste
0.56557377,0.68852459,copy-paste
0.573770492,0.68852459,copy-paste
0.577868852,0.696721311,copy-paste
